about,accommodation,address,biodynamic,booking_required,cellar_tours,city,conference_facilities,contact,cover_image_url,created_at,currently_producing,cycling,data_source,district,email,estate_size_ha,events_venue,facebook,family_friendly,famous_for,founded_year,google_maps_url,google_rating,google_reviews,hiking,history,id,instagram,is_verified,last_verified,latitude,legal_name,linkedin,live_music,logo_url,longitude,market,name,notes,opening_hours,organic,owner,owner_user_id,pet_friendly,phone,picnic,postcode,price_range,province,rating,region,restaurant,running,slug,subscription_tier,sustainable,tasting_room,tasting_room_hours,tripadvisor,updated_at,vineyard_size_ha,ward,website_url,wedding_venue,wheelchair_access,wine_route,wine_route_id,winemaker,wo_appellation_id,youtube
AA Badenhorst Family Wines is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T11:18:22.762463+00:00,True,False,hemelval-research,,,,False,,False,Secateurs; Kalmoesfontein,2009,,,,False,,3688e6fb-1cc3-4140-9a92-4484a17a2ecc,,True,,,,,False,,,False,AA Badenhorst Family Wines,,,False,,,False,,False,,,Western Cape,,,False,False,aa-badenhorst,,False,False,,,2026-08-02T12:49:11.818277+00:00,,,https://www.aabadenhorst.com/,False,False,,,,,
"Abingdon Wine Estate is located in the KwaZulu-Natal Midlands near Lidgetton — one of the very few wine estates outside the Western Cape. Established in 2004, the estate grows vines at 1100m+ altitude in summer-rainfall conditions completely different to the Mediterranean climate of the Cape. Their Sauvignon Blanc is crisp, herbaceous, and nervy — a rare and fascinating wine that challenges assumptions about where SA wine can be grown.",False,,False,False,False,,False,,,2026-08-02T12:36:40.564509+00:00,True,False,hemelval-research,,,,False,,False,Sauvignon Blanc; Chardonnay,,,,,False,,078174da-fc83-4be6-ab23-6adb7cae7453,,True,,,,,False,,,False,Abingdon,,,False,,,False,,False,,,Western Cape,,,False,False,abingdon,,False,False,,,2026-08-02T12:49:51.259419+00:00,,,https://www.abingdonwineestate.co.za/,False,False,,,,,
Allée Bleue is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T12:28:27.848815+00:00,True,False,hemelval-research,,,,False,,False,Magna Carta; Shiraz; Rosé,1694,,,,False,,f2b724ff-f07b-44dd-bd64-159ebc1f246c,,True,,,,,False,,,False,Allée Bleue,,,False,,,False,,False,,,Western Cape,,,False,False,allee-bleue,,False,False,,,2026-08-02T12:49:31.196353+00:00,,,https://www.alleebleue.co.za/,False,False,,,,,
"Altima is a high-altitude farm in the Swartberg area of Stellenbosch, sourcing premium cool-climate fruit for some of SA's top producers. The estate's elevated vineyards (up to 600m) produce Pinot Noir and Chardonnay of unusual elegance and natural acidity for the Stellenbosch region.",False,,False,False,False,,False,,,2026-08-02T12:36:37.846266+00:00,True,False,hemelval-research,,,,False,,False,Pinot Noir; Chardonnay,,,,,False,,c39aea7c-3fc9-458b-8cd1-375cec0dea1b,,True,,,,,False,,,False,Altima,,,False,,,False,,False,,,Western Cape,,,False,False,altima,,False,False,,,2026-08-02T12:49:48.116715+00:00,,,,False,False,,,,,
Alto is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T12:28:25.431954+00:00,True,False,hemelval-research,,,,False,,False,Alto Rouge; Cabernet Sauvignon,1693,,,,False,,6f8d61e7-3f4d-4c75-a857-5545a26fa062,,True,,,,,False,,,False,Alto,,,False,,,False,,False,,,Western Cape,,,False,False,alto,,False,False,,,2026-08-02T12:49:28.699182+00:00,,,https://www.alto.co.za/,False,False,,,,,
"Asara Wine Estate sits on the slopes of the Simonsberg near Stellenbosch, combining a luxury hotel, fine dining, and wine production in one of the most scenic settings in the Winelands. The estate produces elegant Bordeaux-style reds and crisp Sauvignon Blancs from vineyards that benefit from the cooling afternoon breezes off False Bay.",False,,False,False,False,,False,,,2026-08-02T12:36:25.307101+00:00,True,False,hemelval-research,,,,False,,False,Bordeaux blends; Sauvignon Blanc,,,,,False,,b7da5691-b1dd-4961-9729-568f05d90c12,,True,,,,,False,,,False,Asara,,,False,,,False,,False,,,Western Cape,,,False,False,asara,,False,False,,,2026-08-02T12:49:35.479313+00:00,,,https://www.asara.co.za/,False,False,,,,,
"Founded by Ntsiki Biyela — South Africa's first black female winemaker — Aslina is a pioneering brand that sources fruit from carefully selected Western Cape vineyards. Biyela broke barriers when she joined Stellekaya in 2004 after graduating from Stellenbosch University, then launched her own label in 2016 to international acclaim. Her Cabernet Sauvignon and Chardonnay reflect both her meticulous winemaking and her journey transforming SA wine.",False,,False,False,False,,False,,,2026-08-02T12:36:25.650756+00:00,True,False,hemelval-research,,,,False,,False,Cabernet Sauvignon; Chardonnay,,,,,False,,64a2bae6-8c8a-4fe4-9778-c21a0abd245f,,True,,,,,False,,,False,Aslina,,,False,,,False,,False,,,Western Cape,,,False,False,aslina,,False,False,,,2026-08-02T12:49:35.776769+00:00,,,https://www.aslinawines.co.za/,False,False,,,,,
Ataraxia is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T12:23:38.502571+00:00,True,False,hemelval-research,,,,False,,False,Chardonnay; Pinot Noir,,,,,False,,5590592d-8730-46d9-92c7-2b2ab390d9fd,,True,,,,,False,,,False,Ataraxia,,,False,,,False,,False,,,Western Cape,,,False,False,ataraxia,,False,False,,,2026-08-02T12:49:18.533894+00:00,,,https://www.ataraxia.co.za/,False,False,,,,,
Avondale is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T12:28:29.738898+00:00,True,False,hemelval-research,,,,False,,False,Jonty's Ducks Chenin; organic wines,,,,,False,,d3da4c2a-ba67-4bc9-b140-798f91a74aca,,True,,,,,False,,,False,Avondale,,,False,,,False,,False,,,Western Cape,,,False,False,avondale,,False,False,,,2026-08-02T12:49:32.107508+00:00,,,https://www.avondalewine.co.za/,False,False,,,,,
"Avontuur Estate sits on the lower slopes of the Helderberg between Stellenbosch and Somerset West, equally renowned for its thoroughbred horse stud and its premium wines. The estate has been producing wine since 1988 and is particularly known for its Cabernet Sauvignon and Pinotage from mature vineyards on decomposed granite soils.",False,,False,False,False,,False,,,2026-08-02T12:36:25.981834+00:00,True,False,hemelval-research,,,,False,,False,Cabernet Sauvignon; Pinotage,,,,,False,,2f713dc4-e4c8-4475-9313-ca2bf9e1007a,,True,,,,,False,,,False,Avontuur,,,False,,,False,,False,,,Western Cape,,,False,False,avontuur,,False,False,,,2026-08-02T12:49:36.120136+00:00,,,https://www.avontuurestate.co.za/,False,False,,,,,
